New edges,Agg,BC,GD,MB,PM
50->51,272,58,18,192,12
51->52,366,40,86,226,26
52->53,352,54,32,252,22
53->54,208,58,20,116,22
54->55,180,20,10,144,16
55->56,246,38,24,180,8
56->57,278,38,28,206,20
57->58,242,24,10,194,22
58->59,310,62,14,224,22
59->60,260,40,12,200,16
60->61,234,28,30,168,12
61->62,194,52,16,122,8
62->63,124,24,2,92,10
63->64,220,56,8,144,28
64->65,222,68,10,136,14
65->66,158,56,6,94,4
66->67,220,56,2,146,18
67->68,192,44,8,134,6
68->69,194,40,38,116,2
69->70,164,34,8,120,2
70->71,148,58,4,78,16
71->72,224,74,8,138,4
72->73,200,42,2,150,16
73->74,160,42,16,88,24
74->75,230,82,8,128,14
75->76,184,26,22,134,2
76->77,132,32,16,80,6
77->78,236,72,32,126,8
78->79,156,36,8,100,14
79->80,224,28,4,178,24
80->81,192,24,8,158,12
81->82,218,42,18,154,18
82->83,242,26,18,198,8
83->84,242,40,10,186,28
84->85,244,40,8,194,4
85->86,276,54,12,198,18
86->87,122,22,18,76,8
87->88,190,46,0,142,10
88->89,156,20,4,120,24
89->90,176,36,8,128,8
90->91,276,24,26,220,12
91->92,182,56,6,118,4
92->93,288,42,8,228,16
93->94,120,18,4,94,10
94->95,238,46,12,170,14
95->96,242,62,24,148,10
96->97,202,56,8,132,6
97->98,188,38,4,142,18
98->99,154,42,2,102,14
99->100,230,42,24,158,12
