Metric,Classifier,proposed_model,proposed_model_weighted
Precision,rf,0.055,0.070
,logit,0.116,0.106
,ab,0.101,0.133
,nn,0.030,0.010
PREC@10,rf,0.040,0.078
,logit,0.168,0.136
,ab,0.184,0.148
,nn,0.172,0.178
nDCG@10,rf,0.039,0.081
,logit,0.156,0.147
,ab,0.197,0.154
,nn,0.178,0.181
PREC@20,rf,0.046,0.072
,logit,0.160,0.137
,ab,0.169,0.132
,nn,0.192,0.160
nDCG@20,rf,0.043,0.076
,logit,0.155,0.143
,ab,0.181,0.141
,nn,0.191,0.168
,rf,0.048,0.0584
,logit,0.1312,0.1148
,ab,0.1276,0.1208
,nn,0.1552,0.1396
,rf,0.04570272,0.064035159
,logit,0.136251261,0.124345408
,ab,0.144462244,0.129022373
,nn,0.163585132,0.149717413
,rf,0.005611363,0.004399342
,logit,0.004953757,0.005485106
,ab,0.008469358,0.006671818
,nn,0.000347107,0.000181818
