,baseline_agg,baseline_BC,baseline_GD,baseline_MB,baseline_PM,proposed_model
precision,0.02010364863472623,0.0013333333333333335,0.001418439716312057,0.06051425237439633,0.012,0.03326379570050169
top10_precision,0.006000000000000001,0.006000000000000001,0.014893617021276595,0.06000000000000002,0.032,0.046000000000000006
top10_ndcg,0.004064778675054016,0.006240981544435612,0.016080860851031876,0.058534271597896044,0.038666719171286036,0.04363089294388059
top20_precision,0.018000000000000002,0.005,0.0148936170212766,0.06500000000000002,0.031,0.048
top20_ndcg,0.013269054838260625,0.005377734983933766,0.015675350613834568,0.06210801055484796,0.03539702821821111,0.04617846085915565
top50_precision,0.0184,0.0028000000000000004,0.011063829787234043,0.049600000000000026,0.02680000000000001,0.05200000000000002
top50_ndcg,0.01594142292831861,0.0034879892330340113,0.012508873332496319,0.052002829042240545,0.030269978642638154,0.04956798873144422
recall,0.004581801173398757,0.0007142857142857143,0.0011198208286674132,0.011291193259694134,0.0030952380952380953,0.004215922364179634
precision,0.07111111111111111,0.0,0.028617643399278338,0.09262406015037594,0.030606060606060605,0.1156075036075036
top10_precision,0.136,0.0,0.05106382978723404,0.16800000000000007,0.06400000000000002,0.16800000000000004
top10_ndcg,0.12684602003792556,0.0,0.044843189712866834,0.17020935991336042,0.07881830300985398,0.15584592226332228
top20_precision,0.10200000000000001,0.002,0.04680851063829788,0.14399999999999996,0.06800000000000002,0.15999999999999992
top20_ndcg,0.1061643632376641,0.0014373259579390633,0.04365865804045897,0.15256764226827046,0.07673984102568164,0.15463839514032707
top50_precision,0.07680000000000003,0.0008,0.045531914893617034,0.12240000000000005,0.04280000000000001,0.13120000000000007
top50_ndcg,0.08558976989015273,0.0007845689416971065,0.044491018075143704,0.13254944311185457,0.0540740963009114,0.13625126128737222
recall,0.0021986272510316008,0.0,0.01114992143892636,0.004997371915178013,0.006172161172161172,0.004953756680557997
precision,0.02567980950833512,0.0020087385029097333,0.003415835507984056,0.061068618046888866,0.020405720921741005,0.033018705844493484
top10_precision,0.052000000000000005,0.004,0.025531914893617023,0.12600000000000003,0.013999999999999999,0.03800000000000001
top10_ndcg,0.04830482953929875,0.0057269197950493836,0.02646500159995301,0.11612417138326778,0.013695478485916618,0.0401861211564063
top20_precision,0.05800000000000001,0.006000000000000001,0.027659574468085115,0.115,0.012,0.047000000000000014
top20_ndcg,0.053242509208158977,0.006653481783337242,0.02732372461438315,0.11165422512724342,0.01234348641667087,0.04602684167159964
top50_precision,0.060000000000000026,0.0032,0.02893617021276597,0.10480000000000006,0.019200000000000005,0.04600000000000002
top50_ndcg,0.05704840483315971,0.004225511229047271,0.028252695378406373,0.10510815509454224,0.01764333048386163,0.04557868474910194
recall,0.11936614820672681,0.21787842258815132,0.7234767891682786,0.2146882146062758,0.3814314574314575,0.23215215490358765
precision,0.08027849927849928,0.0,0.0012515644555694619,0.0475,0.005428571428571429,0.10130301887654829
top10_precision,0.10200000000000004,0.004,0.006382978723404256,0.14400000000000004,0.025999999999999995,0.18399999999999994
top10_ndcg,0.10958219842097126,0.002544831527958068,0.007107477546047139,0.15518598336828082,0.026162327541183954,0.19717187578661613
top20_precision,0.088,0.004,0.010638297872340425,0.12999999999999995,0.020000000000000004,0.16899999999999996
top20_ndcg,0.09683443517648983,0.003018614074572583,0.01010051078257212,0.14153308959412006,0.021683607477192782,0.18110812897384357
top50_precision,0.08080000000000002,0.0016,0.010638297872340424,0.10720000000000005,0.0204,0.12760000000000005
top50_ndcg,0.08760913090521763,0.001647720085202698,0.010407500380257442,0.11921210504218055,0.021254366591770525,0.1444622436118389
recall,0.003187062731182613,0.0,0.0011198208286674132,0.0012548254104011484,0.0030952380952380953,0.008469358458034293
