,proposed_model_weighted
precision,0.07009639332627468
top10_precision,0.07800000000000003
top10_ndcg,0.0811300096699998
top20_precision,0.07200000000000002
top20_ndcg,0.07558932106007181
top50_precision,0.05840000000000003
top50_ndcg,0.06403515945162169
recall,0.004399342148223556
precision,0.105527852027852
top10_precision,0.13600000000000004
top10_ndcg,0.14685247580165753
top20_precision,0.137
top20_ndcg,0.14312772864070664
top50_precision,0.11480000000000005
top50_ndcg,0.12434540781711448
recall,0.005485105711092655
precision,0.1328955603486937
top10_precision,0.14800000000000005
top10_ndcg,0.15393600093486962
top20_precision,0.13199999999999998
top20_ndcg,0.1409717406613772
top50_precision,0.12080000000000006
top50_ndcg,0.129022373152748
recall,0.00667181751647558
precision,0.01
top10_precision,0.17800000000000002
top10_ndcg,0.18124215809211472
top20_precision,0.15999999999999998
top20_ndcg,0.16779354569965402
top50_precision,0.13960000000000006
top50_ndcg,0.14971741255606263
recall,0.0001818181818181818
