,baseline_agg,baseline_BC,baseline_GD,baseline_MB,baseline_PM,proposed_model,proposed_com,proposed_emb,proposed_textsim,proposed_comemb,proposed_cet
precision,0.019480108841838564,0.0013333333333333335,0.001418439716312057,0.06280302775574807,0.032,0.05516712379318382,0.034758311993809,0.05025104902026035,0.03043224275384618,0.042520448860994736,0.05620984750017008
top10_precision,0.022000000000000002,0.004,0.006382978723404256,0.056000000000000015,0.030000000000000006,0.04,0.04,0.048000000000000015,0.048,0.039999999999999994,0.044000000000000004
top10_ndcg,0.02033269658353301,0.0031681830513700486,0.008511132942750039,0.05413590501891104,0.033313352315185195,0.03878038806370818,0.04025089475368866,0.05169328135826445,0.05075617662282324,0.041250382829644376,0.04487121260878545
top20_precision,0.019,0.002,0.01170212765957447,0.06000000000000001,0.025000000000000005,0.046000000000000006,0.04100000000000001,0.048999999999999995,0.053,0.03900000000000001,0.04700000000000002
top20_ndcg,0.018984104131009275,0.0020446418952984186,0.011624572425902197,0.057605016763772506,0.028609379424932378,0.04336223506710565,0.04084791419599724,0.05081743183972076,0.05358138274971806,0.039990633070435315,0.04723349935379128
top50_precision,0.0176,0.002,0.010212765957446808,0.055600000000000024,0.02480000000000001,0.048000000000000015,0.046800000000000015,0.05560000000000003,0.060800000000000035,0.049200000000000015,0.04080000000000002
top50_ndcg,0.01783034619481833,0.0020571062344353114,0.01055679404173222,0.055722313973963405,0.026876309050499852,0.04570272016275373,0.04589345152698271,0.05508820084823109,0.05918229886667336,0.047172373289495556,0.04234905834377924
recall,0.007040123788820649,0.0007142857142857143,0.0011198208286674132,0.01414225059983073,0.005595238095238095,0.00561136314016427,0.004391890462591769,0.006634850765468653,0.0042933324222789015,0.005486982483169488,0.003836322561013364
precision,0.07111111111111111,0.0,0.028617643399278338,0.09262406015037594,0.030606060606060605,0.1156075036075036,0.10115359477124183,0.13588765705838876,0.10180131159163416,0.12278744209007364,0.12226984126984126
top10_precision,0.136,0.0,0.05106382978723404,0.16800000000000007,0.06400000000000002,0.16800000000000004,0.192,0.14000000000000004,0.16800000000000004,0.16400000000000006,0.18800000000000006
top10_ndcg,0.12684602003792556,0.0,0.044843189712866834,0.17020935991336042,0.07881830300985398,0.15584592226332228,0.1893975583455346,0.13929329195720808,0.1579118882518663,0.15736842435934054,0.18289180164144095
top20_precision,0.10200000000000001,0.002,0.04680851063829788,0.14399999999999996,0.06800000000000002,0.15999999999999992,0.1979999999999999,0.16599999999999998,0.148,0.19399999999999992,0.15599999999999997
top20_ndcg,0.1061643632376641,0.0014373259579390633,0.04365865804045897,0.15256764226827046,0.07673984102568164,0.15463839514032707,0.1946386191053107,0.15831316286030345,0.14784811107413948,0.18058501527872295,0.16207443876792746
top50_precision,0.07680000000000003,0.0008,0.045531914893617034,0.12240000000000005,0.04280000000000001,0.13120000000000007,0.15520000000000006,0.14240000000000008,0.11640000000000005,0.16080000000000008,0.14320000000000008
top50_ndcg,0.08558976989015273,0.0007845689416971065,0.044491018075143704,0.13254944311185457,0.0540740963009114,0.13625126128737222,0.16454960585997633,0.14422339335958914,0.1244445869226014,0.1620813507170267,0.1492657861263488
recall,0.0021986272510316008,0.0,0.01114992143892636,0.004997371915178013,0.006172161172161172,0.004953756680557997,0.0036864528175625023,0.005557617254117154,0.006155212210103741,0.006305390710820891,0.004626312544172288
precision,0.02567980950833512,0.0020087385029097333,0.003415835507984056,0.061068618046888866,0.020405720921741005,0.033018705844493484,0.038176090489465166,0.0331001953043007,0.03352513559393719,0.034042758270978905,0.033948098003627504
top10_precision,0.052000000000000005,0.004,0.025531914893617023,0.12600000000000003,0.013999999999999999,0.03800000000000001,0.054000000000000006,0.04,0.04400000000000001,0.03200000000000001,0.05000000000000001
top10_ndcg,0.04830482953929875,0.0057269197950493836,0.02646500159995301,0.11612417138326778,0.013695478485916618,0.0401861211564063,0.05912632863104864,0.04172763883309269,0.04535378259925484,0.024829538368889348,0.04535038281119188
top20_precision,0.05800000000000001,0.006000000000000001,0.027659574468085115,0.115,0.012,0.047000000000000014,0.05400000000000002,0.044000000000000004,0.046,0.049000000000000016,0.045
top20_ndcg,0.053242509208158977,0.006653481783337242,0.02732372461438315,0.11165422512724342,0.01234348641667087,0.04602684167159964,0.057034538768146945,0.043856603299670054,0.0459358922740633,0.03938281882345141,0.04331204948267433
top50_precision,0.060000000000000026,0.0032,0.02893617021276597,0.10480000000000006,0.019200000000000005,0.04600000000000002,0.05360000000000003,0.04160000000000002,0.047600000000000024,0.05240000000000003,0.04520000000000003
top50_ndcg,0.05704840483315971,0.004225511229047271,0.028252695378406373,0.10510815509454224,0.01764333048386163,0.04557868474910194,0.05511914784097836,0.04213653976783885,0.04679003322246549,0.046625994586263035,0.044185799704742026
recall,0.11936614820672681,0.21787842258815132,0.7234767891682786,0.2146882146062758,0.3814314574314575,0.23215215490358765,0.302071880211738,0.3007346546148562,0.3406691462500684,0.34594895259418396,0.4213421205105235
precision,0.08027849927849928,0.0,0.0012515644555694619,0.0475,0.005428571428571429,0.10130301887654829,0.14785134888617862,0.1552805802762203,0.12187166907166908,0.1425348162235654,0.1360084395268471
top10_precision,0.10200000000000004,0.004,0.006382978723404256,0.14400000000000004,0.025999999999999995,0.18399999999999994,0.19399999999999998,0.16200000000000006,0.14400000000000004,0.13600000000000004,0.13800000000000007
top10_ndcg,0.10958219842097126,0.002544831527958068,0.007107477546047139,0.15518598336828082,0.026162327541183954,0.19717187578661613,0.20560028443622932,0.17657301358289085,0.14340881783107962,0.14214459842672675,0.14284556713499533
top20_precision,0.088,0.004,0.010638297872340425,0.12999999999999995,0.020000000000000004,0.16899999999999996,0.1519999999999999,0.14999999999999994,0.13699999999999998,0.144,0.14399999999999996
top20_ndcg,0.09683443517648983,0.003018614074572583,0.01010051078257212,0.14153308959412006,0.021683607477192782,0.18110812897384357,0.1712500254644263,0.16314012548543266,0.1392461793432263,0.14671315708710567,0.14556251625647007
top50_precision,0.08080000000000002,0.0016,0.010638297872340424,0.10720000000000005,0.0204,0.12760000000000005,0.12600000000000006,0.13320000000000007,0.12000000000000006,0.12560000000000004,0.13120000000000007
top50_ndcg,0.08760913090521763,0.001647720085202698,0.010407500380257442,0.11921210504218055,0.021254366591770525,0.1444622436118389,0.14351325862652703,0.14509242059289357,0.1260274859806134,0.1322288714949254,0.13563597951498452
recall,0.003187062731182613,0.0,0.0011198208286674132,0.0012548254104011484,0.0030952380952380953,0.008469358458034293,0.010342654879411986,0.01733888705975534,0.008461766083064504,0.01656143624558175,0.01821928521326871
precision,0.006666666666666666,0.0,0.0,0.0,0.010869565217391304,0.03,0.02857142857142857,0.04904761904761904,0.0125,0.043,0.0845501253132832
top10_precision,0.128,0.0,0.012000000000000002,0.18,0.05800000000000002,0.17200000000000007,0.16000000000000003,0.23199999999999998,0.16400000000000006,0.18400000000000002,0.16800000000000007
top10_ndcg,0.12638513326078457,0.0,0.012890889964878185,0.17860668821172407,0.06576625819258615,0.17838236097166077,0.16465008387054172,0.2426255049613204,0.16583642169015494,0.1835977302802377,0.17227999168637587
top20_precision,0.106,0.0,0.027999999999999997,0.15999999999999998,0.05700000000000002,0.19199999999999995,0.158,0.214,0.18600000000000003,0.17,0.15
top20_ndcg,0.1115081317598211,0.0,0.02397393660919629,0.16552422102019304,0.06277713268887258,0.1907873585433813,0.16266091342475472,0.22592516404719148,0.1804920154059536,0.17515914415764736,0.15825598113230208
top50_precision,0.08000000000000003,0.0,0.020800000000000006,0.13280000000000006,0.04200000000000001,0.1552000000000001,0.16160000000000008,0.17680000000000004,0.15280000000000007,0.15760000000000007,0.13800000000000007
top50_ndcg,0.08971672561556877,0.0,0.02020562629200949,0.1429213074830304,0.04922105194349579,0.16358513150056328,0.16364156611034456,0.19306381022306007,0.15822003665333456,0.16336582437605834,0.14574839967915076
recall,0.0001818181818181818,0.0,0.0,0.0,0.003205128205128205,0.0003471074380165289,0.0007652347652347651,0.0013217322861591636,0.0006168009205983889,0.0012804691582634952,0.00227476433394628
